image_id,image_path,sex,category,length,style,designer,shop_name,hashtag1,hashtag2,hashtag3
여성_CUT_롱_레이어드컷_0,images\여성_CUT_롱_레이어드컷_0.jpg,여성,CUT,롱,레이어드컷,실장 아인,모어온헤어 신논현점,#올리브브라운,#레이어드컷,#레이어드펌
여성_CUT_롱_레이어드컷_1,images\여성_CUT_롱_레이어드컷_1.jpg,여성,CUT,롱,레이어드컷,디자이너 정동현,모어온헤어 신논현점,#물결펌,#레이어드컷,#셋팅펌
여성_CUT_롱_레이어드컷_2,images\여성_CUT_롱_레이어드컷_2.jpg,여성,CUT,롱,레이어드컷,실장 이정문,모어온헤어 본점,#셋팅펌,#레이어드펌,#레이어드컷
여성_CUT_롱_레이어드컷_3,images\여성_CUT_롱_레이어드컷_3.jpg,여성,CUT,롱,레이어드컷,실장 이정문,모어온헤어 본점,#셋팅펌,#레이어드펌,#레이어드컷
여성_CUT_롱_레이어드컷_4,images\여성_CUT_롱_레이어드컷_4.jpg,여성,CUT,롱,레이어드컷,실장 민준,모어온헤어 강남점,#C컬펌,#레이어드펌,#레이어드컷
여성_CUT_롱_레이어드컷_5,images\여성_CUT_롱_레이어드컷_5.jpg,여성,CUT,롱,레이어드컷,디자이너 정재원,모어온헤어 신논현점,#레이어드펌,#허쉬펌,#레이어드컷
여성_CUT_롱_레이어드컷_6,images\여성_CUT_롱_레이어드컷_6.jpg,여성,CUT,롱,레이어드컷,디자이너 정재원,모어온헤어 신논현점,#레이어드펌,#허쉬펌,#레이어드컷
여성_CUT_롱_레이어드컷_9,images\여성_CUT_롱_레이어드컷_9.jpg,여성,CUT,롱,레이어드컷,디자이너 윤결,모어온헤어 강남점,#S컬펌,#셋팅펌,#레이어드컷
여성_CUT_롱_레이어드컷_10,images\여성_CUT_롱_레이어드컷_10.jpg,여성,CUT,롱,레이어드컷,디자이너 윤결,모어온헤어 강남점,#레이어드컷,#C컬펌,#셋팅펌
여성_CUT_롱_레이어드컷_11,images\여성_CUT_롱_레이어드컷_11.jpg,여성,CUT,롱,레이어드컷,디자이너 윤결,모어온헤어 강남점,#레이어드컷,#C컬펌,#셋팅펌
여성_CUT_롱_레이어드컷_12,images\여성_CUT_롱_레이어드컷_12.jpg,여성,CUT,롱,레이어드컷,디자이너 신영,모어온헤어 강남점,#옴브레,#레이어드컷,#S컬펌
여성_CUT_롱_레이어드컷_13,images\여성_CUT_롱_레이어드컷_13.jpg,여성,CUT,롱,레이어드컷,디자이너 신영,모어온헤어 강남점,#C컬펌,#볼륨매직,#레이어드컷
여성_CUT_롱_레이어드컷_14,images\여성_CUT_롱_레이어드컷_14.jpg,여성,CUT,롱,레이어드컷,원장 다와,이타헤어 선릉역점,#S컬펌,#밀크브라운,#레이어드컷
여성_CUT_롱_레이어드컷_17,images\여성_CUT_롱_레이어드컷_17.jpg,여성,CUT,롱,레이어드컷,원장 다와,이타헤어 선릉역점,#볼륨매직,#밀크브라운,#레이어드컷
여성_CUT_롱_레이어드컷_18,images\여성_CUT_롱_레이어드컷_18.jpg,여성,CUT,롱,레이어드컷,실장 조은,희올헤어 본점,#C컬펌,#레이어드펌,#레이어드컷
여성_CUT_롱_레이어드컷_19,images\여성_CUT_롱_레이어드컷_19.jpg,여성,CUT,롱,레이어드컷,디자이너 정재원,모어온헤어 신논현점,#C컬펌,#레이어드펌,#레이어드컷
여성_CUT_롱_레이어드컷_20,images\여성_CUT_롱_레이어드컷_20.jpg,여성,CUT,롱,레이어드컷,부원장 비달사손,에이치플레이스 서초아크로비스타점,#C컬펌,#레이어드컷,#발레아쥬
여성_CUT_롱_레이어드컷_22,images\여성_CUT_롱_레이어드컷_22.jpg,여성,CUT,롱,레이어드컷,디자이너 유진,이타헤어 선릉역점,#C컬펌,#레이어드펌,#레이어드컷
여성_CUT_롱_레이어드컷_23,images\여성_CUT_롱_레이어드컷_23.jpg,여성,CUT,롱,레이어드컷,디자이너 유진,이타헤어 선릉역점,#레이어드컷,#레이어드펌,#S컬펌
여성_CUT_롱_레이어드컷_24,images\여성_CUT_롱_레이어드컷_24.jpg,여성,CUT,롱,레이어드컷,디자이너 유진,이타헤어 선릉역점,#올리브브라운,#레이어드컷,#레이어드펌
여성_CUT_롱_레이어드컷_25,images\여성_CUT_롱_레이어드컷_25.jpg,여성,CUT,롱,레이어드컷,디자이너 유진,이타헤어 선릉역점,#애쉬브라운,#레이어드컷,#레이어드펌
여성_CUT_롱_레이어드컷_26,images\여성_CUT_롱_레이어드컷_26.jpg,여성,CUT,롱,레이어드컷,실장 소연,희올헤어 본점,#볼륨매직,#애쉬블루,#레이어드컷
여성_CUT_롱_레이어드컷_30,images\여성_CUT_롱_레이어드컷_30.jpg,여성,CUT,롱,레이어드컷,부원장 비달사손,에이치플레이스 서초아크로비스타점,#S컬펌,#올리브브라운,#레이어드컷
여성_CUT_롱_레이어드컷_31,images\여성_CUT_롱_레이어드컷_31.jpg,여성,CUT,롱,레이어드컷,부원장 비달사손,에이치플레이스 서초아크로비스타점,#빌드펌,#올리브브라운,#레이어드컷
여성_CUT_롱_허쉬컷_0,images\여성_CUT_롱_허쉬컷_0.jpg,여성,CUT,롱,허쉬컷,실장 소연,희올헤어 본점,#허쉬펌,#S컬펌,#허쉬컷
여성_CUT_롱_허쉬컷_6,images\여성_CUT_롱_허쉬컷_6.jpg,여성,CUT,롱,허쉬컷,디자이너 승리,유니앤미헤어살롱 신도림테크노마트점,#C컬펌,#레이어드컷,#허쉬컷
여성_CUT_롱_허쉬컷_7,images\여성_CUT_롱_허쉬컷_7.jpg,여성,CUT,롱,허쉬컷,원장 제이,프린 청담점,#히피펌,#애쉬브라운,#허쉬컷
여성_CUT_롱_허쉬컷_9,images\여성_CUT_롱_허쉬컷_9.jpg,여성,CUT,롱,허쉬컷,디자이너 하늘,코벨헤어 송파본점,#S컬펌,#셋팅펌,#허쉬컷
여성_CUT_롱_허쉬컷_10,images\여성_CUT_롱_허쉬컷_10.jpg,여성,CUT,롱,허쉬컷,디자이너 하늘,코벨헤어 송파본점,#셋팅펌,#레드브라운,#허쉬컷
여성_CUT_롱_허쉬컷_14,images\여성_CUT_롱_허쉬컷_14.jpg,여성,CUT,롱,허쉬컷,원장 신새벽,어나더즈 홍대상수점,#레이어드컷,#허쉬컷,#블루블랙
여성_CUT_롱_허쉬컷_15,images\여성_CUT_롱_허쉬컷_15.jpg,여성,CUT,롱,허쉬컷,원장 신새벽,어나더즈 홍대상수점,#레이어드컷,#허쉬컷,#블루블랙
여성_CUT_롱_허쉬컷_16,images\여성_CUT_롱_허쉬컷_16.jpg,여성,CUT,롱,허쉬컷,원장 신새벽,어나더즈 홍대상수점,#레이어드컷,#애쉬블루,#허쉬컷
여성_CUT_롱_허쉬컷_17,images\여성_CUT_롱_허쉬컷_17.jpg,여성,CUT,롱,허쉬컷,부원장 문혜원,메이봄헤어 본점,#허쉬펌,#레드와인,#허쉬컷
여성_CUT_롱_허쉬컷_19,images\여성_CUT_롱_허쉬컷_19.jpg,여성,CUT,롱,허쉬컷,디자이너 화민,준오헤어 강남화이트점,#허쉬펌,#레이어드펌,#허쉬컷
여성_CUT_롱_허쉬컷_20,images\여성_CUT_롱_허쉬컷_20.jpg,여성,CUT,롱,허쉬컷,실장 소연,희올헤어 본점,#허쉬펌,#S컬펌,#허쉬컷
여성_CUT_롱_허쉬컷_24,images\여성_CUT_롱_허쉬컷_24.jpg,여성,CUT,롱,허쉬컷,실장 주미,"쉼, 신길뉴타운점",#C컬펌,#다크브라운,#허쉬컷
여성_CUT_롱_허쉬컷_28,images\여성_CUT_롱_허쉬컷_28.jpg,여성,CUT,롱,허쉬컷,실장 소연,희올헤어 본점,#허쉬펌,#S컬펌,#허쉬컷
여성_CUT_롱_허쉬컷_30,images\여성_CUT_롱_허쉬컷_30.jpg,여성,CUT,롱,허쉬컷,실장 전해리,모어온헤어 신논현점,#C컬펌,#애쉬브라운,#허쉬컷
여성_CUT_롱_허쉬컷_31,images\여성_CUT_롱_허쉬컷_31.jpg,여성,CUT,롱,허쉬컷,실장 신슬기,모어온헤어 강남점,#내츄럴펌,#허쉬펌,#허쉬컷
여성_CUT_롱_허쉬컷_32,images\여성_CUT_롱_허쉬컷_32.jpg,여성,CUT,롱,허쉬컷,실장 민준,모어온헤어 강남점,#허쉬펌,#레이어드펌,#허쉬컷
여성_CUT_롱_허쉬컷_33,images\여성_CUT_롱_허쉬컷_33.jpg,여성,CUT,롱,허쉬컷,실장 민준,희올헤어 본점,#허쉬펌,#레이어드펌,#허쉬컷
여성_CUT_롱_원랭스컷_1,images\여성_CUT_롱_원랭스컷_1.jpg,여성,CUT,롱,원랭스컷,원장 신새벽,어나더즈 홍대상수점,#원랭스컷,#C컬펌,#애쉬블론드
여성_CUT_롱_원랭스컷_2,images\여성_CUT_롱_원랭스컷_2.jpg,여성,CUT,롱,원랭스컷,디자이너 박서준,준오헤어 건대역1호점,#히피펌,#원랭스컷,#젤리펌
여성_CUT_롱_원랭스컷_6,images\여성_CUT_롱_원랭스컷_6.jpg,여성,CUT,롱,원랭스컷,실장 예은,꾸아르헤어 금호점,#원랭스컷,#볼륨매직,#밀크브라운
여성_CUT_롱_원랭스컷_7,images\여성_CUT_롱_원랭스컷_7.jpg,여성,CUT,롱,원랭스컷,실장 예은,꾸아르헤어 금호점,#원랭스컷,#밀크브라운,#볼륨매직
여성_CUT_롱_원랭스컷_12,images\여성_CUT_롱_원랭스컷_12.jpg,여성,CUT,롱,원랭스컷,실장 아람,모어온헤어 강남점,#물결펌,#셋팅펌,#원랭스컷
여성_CUT_롱_원랭스컷_13,images\여성_CUT_롱_원랭스컷_13.jpg,여성,CUT,롱,원랭스컷,실장 아람,희올헤어 본점,#S컬펌,#물결펌,#원랭스컷
여성_CUT_롱_원랭스컷_15,images\여성_CUT_롱_원랭스컷_15.jpg,여성,CUT,롱,원랭스컷,디자이너 윤아,메이에르 구로점,#원랭스컷,#물결펌,#젤리펌
여성_CUT_롱_원랭스컷_16,images\여성_CUT_롱_원랭스컷_16.jpg,여성,CUT,롱,원랭스컷,디자이너 윤아,메이에르 구로점,#원랭스컷,#디지털펌,#레드브라운
여성_CUT_롱_원랭스컷_18,images\여성_CUT_롱_원랭스컷_18.jpg,여성,CUT,롱,원랭스컷,디자이너 채은,프린 청담점,#레이어드펌,#다크브라운,#원랭스컷
여성_CUT_롱_원랭스컷_21,images\여성_CUT_롱_원랭스컷_21.jpg,여성,CUT,롱,원랭스컷,실장 아람,희올헤어 본점,#S컬펌,#물결펌,#원랭스컷
여성_CUT_롱_원랭스컷_22,images\여성_CUT_롱_원랭스컷_22.jpg,여성,CUT,롱,원랭스컷,디자이너 정동현,모어온헤어 신논현점,#히피펌,#원랭스컷,#볼륨매직
여성_CUT_롱_원랭스컷_23,images\여성_CUT_롱_원랭스컷_23.jpg,여성,CUT,롱,원랭스컷,실장 신슬기,희올헤어 본점,#볼륨매직,#텍스쳐펌,#원랭스컷
여성_CUT_롱_원랭스컷_24,images\여성_CUT_롱_원랭스컷_24.jpg,여성,CUT,롱,원랭스컷,실장 아람,희올헤어 본점,#젤리펌,#히피펌,#원랭스컷
여성_CUT_롱_원랭스컷_25,images\여성_CUT_롱_원랭스컷_25.jpg,여성,CUT,롱,원랭스컷,실장 아람,희올헤어 본점,#S컬펌,#물결펌,#원랭스컷
여성_CUT_롱_원랭스컷_27,images\여성_CUT_롱_원랭스컷_27.jpg,여성,CUT,롱,원랭스컷,실장 아람,희올헤어 본점,#원랭스컷,#S컬펌,#물결펌
여성_CUT_롱_원랭스컷_29,images\여성_CUT_롱_원랭스컷_29.jpg,여성,CUT,롱,원랭스컷,디자이너 유진,오버마운트 홍대점,#볼륨매직,#원랭스컷,#S컬펌
여성_CUT_롱_원랭스컷_32,images\여성_CUT_롱_원랭스컷_32.jpg,여성,CUT,롱,원랭스컷,원장 성은,에이바헤어 구로디지털단지역점,#물결펌,#히피펌,#원랭스컷
여성_CUT_롱_원랭스컷_33,images\여성_CUT_롱_원랭스컷_33.jpg,여성,CUT,롱,원랭스컷,실장 신슬기,희올헤어 본점,#내츄럴펌,#원랭스컷,#볼륨매직
여성_CUT_롱_원랭스컷_34,images\여성_CUT_롱_원랭스컷_34.jpg,여성,CUT,롱,원랭스컷,실장 신슬기,희올헤어 본점,#볼륨매직,#내츄럴펌,#원랭스컷
여성_CUT_롱_샤기컷_1,images\여성_CUT_롱_샤기컷_1.jpg,여성,CUT,롱,샤기컷,수석디자이너 준혁,데생헤어 성신여대점,#샤기컷,#레드브라운,#볼륨매직
여성_CUT_롱_샤기컷_2,images\여성_CUT_롱_샤기컷_2.jpg,여성,CUT,롱,샤기컷,수석디자이너 준혁,데생헤어 성신여대점,#샤기컷,#애쉬브라운,#볼륨매직
여성_CUT_롱_샤기컷_4,images\여성_CUT_롱_샤기컷_4.jpg,여성,CUT,롱,샤기컷,대표원장 왕구,어바웃9 신림역점,#애쉬베이지,#샤기컷,#허쉬컷
여성_CUT_롱_샤기컷_5,images\여성_CUT_롱_샤기컷_5.jpg,여성,CUT,롱,샤기컷,원장 영우,데생헤어 성신여대점,#레이어드컷,#샤기컷,#볼륨매직
여성_CUT_롱_샤기컷_6,images\여성_CUT_롱_샤기컷_6.jpg,여성,CUT,롱,샤기컷,원장 영우,데생헤어 성신여대점,#레이어드컷,#샤기컷,#볼륨매직
여성_CUT_롱_샤기컷_7,images\여성_CUT_롱_샤기컷_7.jpg,여성,CUT,롱,샤기컷,디자이너 미미,양리헤어 홍대점,#허쉬펌,#샤기컷,#허쉬컷
여성_CUT_롱_샤기컷_8,images\여성_CUT_롱_샤기컷_8.jpg,여성,CUT,롱,샤기컷,팀장 인형,살롱드라피네 강남점,#레이어드펌,#블루블랙,#샤기컷
여성_CUT_롱_샤기컷_9,images\여성_CUT_롱_샤기컷_9.jpg,여성,CUT,롱,샤기컷,원장 인선,어바웃9 서울대입구역점,#허쉬펌,#허쉬컷,#샤기컷
여성_CUT_롱_샤기컷_10,images\여성_CUT_롱_샤기컷_10.jpg,여성,CUT,롱,샤기컷,실장 가예,데생헤어 성신여대점,#샤기컷,#애쉬블루,#레이어드컷
여성_CUT_롱_샤기컷_11,images\여성_CUT_롱_샤기컷_11.jpg,여성,CUT,롱,샤기컷,수석실장 정가윤,준오헤어 방배역점,#레이어드펌,#초코브라운,#샤기컷
여성_CUT_롱_샤기컷_12,images\여성_CUT_롱_샤기컷_12.jpg,여성,CUT,롱,샤기컷,디렉터 현미,순수 청담본점,#허쉬펌,#레이어드컷,#샤기컷
여성_CUT_롱_샤기컷_14,images\여성_CUT_롱_샤기컷_14.jpg,여성,CUT,롱,샤기컷,실장 가예,데생헤어 성신여대점,#샤기컷,#애쉬블루,#볼륨매직
여성_CUT_롱_샤기컷_15,images\여성_CUT_롱_샤기컷_15.jpg,여성,CUT,롱,샤기컷,팀장 인형,살롱드라피네 강남점,#허쉬컷,#레이어드컷,#샤기컷
여성_CUT_롱_샤기컷_20,images\여성_CUT_롱_샤기컷_20.jpg,여성,CUT,롱,샤기컷,대표 원장 서리,더프로스트헤어 신림점,#레이어드컷,#허쉬컷,#샤기컷
여성_CUT_롱_샤기컷_22,images\여성_CUT_롱_샤기컷_22.jpg,여성,CUT,롱,샤기컷,수석실장 정가윤,준오헤어 방배역점,#레이어드펌,#마호가니,#샤기컷
여성_CUT_롱_샤기컷_25,images\여성_CUT_롱_샤기컷_25.jpg,여성,CUT,롱,샤기컷,대표원장 왕구,어바웃9 신림역점,#허쉬펌,#샤기컷,#허쉬컷
여성_CUT_롱_샤기컷_27,images\여성_CUT_롱_샤기컷_27.jpg,여성,CUT,롱,샤기컷,디자이너 윤아,오테르남영 남영점,#원랭스컷,#다크브라운,#샤기컷
여성_CUT_롱_샤기컷_31,images\여성_CUT_롱_샤기컷_31.jpg,여성,CUT,롱,샤기컷,원장 한지호,꼬모엘루즈 청담점,#레이어드컷,#샤기컷,#볼륨매직
여성_CUT_롱_샤기컷_33,images\여성_CUT_롱_샤기컷_33.jpg,여성,CUT,롱,샤기컷,대표원장 바다,어바웃9 홍대입구 본점,#애쉬브라운,#레이어드컷,#샤기컷
여성_CUT_롱_샤기컷_34,images\여성_CUT_롱_샤기컷_34.jpg,여성,CUT,롱,샤기컷,디렉터 현미,순수 청담본점,#샤기컷,#뱅헤어,#레이어드컷
여성_CUT_롱_샤기컷_35,images\여성_CUT_롱_샤기컷_35.jpg,여성,CUT,롱,샤기컷,디자이너 김동재,더봄 가로수길점,#허쉬컷,#샤기컷,#볼륨매직
